date,prospect_name,channel,touch_number,message_excerpt,result
"2026-09-23","Austin Plumbing®","email",1,"austin plumbing / radiant benchmark","no_reply"
"2026-09-23","Austin's Greatest Plumbing","email",1,"5.0 rating & mobile bounce rate","no_reply"
"2026-09-23","Cold Is On The Right Plumbing & Air","email",1,"dual-trade cross-sell gap","no_reply"
"2026-09-23","Austin's Greatest Plumbing","email",1,"5.0 rating & mobile bounce rate","no_reply"
"2026-09-23","Cold Is On The Right Plumbing & Air","email",1,"dual-trade cross-sell gap","no_reply"
"2026-09-23","Plumbing Outfitters","email",1,"servicetitan web booking gap","no_reply"
"2026-09-23","Clarke Kent Plumbing","email",1,"bot screen on mobile","no_reply"
"2026-09-23","Wisdom Kwati Smart City Plc","email",1,"google rating & diaspora investor funnel","no_reply"
"2026-09-23","LEE Investment Handlers","email",1,"search telemetry & google entity verification","no_reply"
"2026-09-23","Beyond Wow Plumbing & Drains","email",1,"4.2s mobile latency on emergency searches","no_reply"
"2026-09-23","Radiant Plumbing, Air Conditioning, & Electrical","email",1,"peak weather dispatch triage & cross-trade","no_reply"
"2026-09-23","Reliant Plumbing - Austin","email",1,"5.6s load time on south austin project pages","no_reply"
"2026-09-23","Reliant Plumbing (Bee Cave)","email",1,"bee cave luxury filtration booking","no_reply"
"2026-09-23","Rooter-Man Plumbing Austin TX","email",1,"not secure warning on mobile","no_reply"
"2026-09-23","Stan's Heating, Air, Plumbing & Electrical","email",1,"plumbing visibility gap & cross-trade","no_reply"
"2026-09-23","ABC Home & Commercial - Plumbing Services","email",1,"commercial backflow & multi-site tracking","no_reply"
"2026-09-24","Fox Service Company","email",1,"4.8s mobile chat latency & after-hours triage","no_reply"
"2026-09-24","Proven Plumbing & Air","email",1,"cedar park to austin dispatch clustering","no_reply"
"2026-09-24","Mr. Rooter Plumbing of Austin","email",1,"map pack review gap vs radiant","no_reply"
"2026-09-24","Plumbing Outfitters","email",1,"servicetitan web booking gap","no_reply"
"2026-09-24","Clarke Kent Plumbing","email",1,"bot screen on mobile","no_reply"
